time_s,voltage_V
0.000000000000000e+00,-170.000000000
2.048508690000000e-10,-161.278225948
4.097017370000001e-10,-152.585653456
6.145526060000000e-10,-143.951325872
8.194034740000001e-10,-135.403971122
1.024254343000000e-09,-126.971846521
1.229105211000000e-09,-118.682586576
1.433956080000000e-09,-110.563054765
1.638806949000000e-09,-102.639200211
1.843657817000000e-09,-94.935920188
2.048508686000000e-09,-87.476929296
2.253359554000000e-09,-80.284636144
2.458210423000000e-09,-73.380028309
2.663061291000000e-09,-66.782566277
2.867912160000000e-09,-60.510087026
3.072763029000000e-09,-54.578717830
3.277613897000000e-09,-49.002800806
3.482464766000000e-09,-43.794828646
3.687315634000000e-09,-38.965391895
3.892166503000000e-09,-34.523138071
4.097017371000000e-09,-30.474742838
4.301868240000001e-09,-26.824893345
4.506719108000000e-09,-23.576283790
4.711569977000000e-09,-20.729623168
4.916420846000000e-09,-18.283655082
5.121271714000000e-09,-16.235189416
5.326122583000000e-09,-14.579145597
5.530973451000001e-09,-13.308607090
5.735824320000000e-09,-12.414886690
5.940675188000001e-09,-11.887602125
6.145526057000000e-09,-11.714761383
6.350376926000001e-09,-11.882857159
6.555227794000000e-09,-12.376969709
6.760078663000000e-09,-13.180877391
6.964929531000000e-09,-14.277174085
7.169780400000000e-09,-15.647392686
7.374631268000000e-09,-17.272133772
7.579482137000000e-09,-19.131198587
7.784333006000000e-09,-21.203725383
7.989183874000000e-09,-23.468328211
8.194034743000000e-09,-25.903237205
8.398885611000001e-09,-28.486439405
8.603736480000001e-09,-31.195819179
8.808587348000001e-09,-34.009297302
9.013438216999999e-09,-36.904967771
9.218289086000001e-09,-39.861231466
9.423139954000001e-09,-42.856925776
9.627990822999999e-09,-45.871449367
9.832841691000001e-09,-48.884881287
1.003769256000000e-08,-51.878093676
1.024254342800000e-08,-54.832857370
1.044739429700000e-08,-57.731939762
1.065224516600000e-08,-60.559194353
1.085709603400000e-08,-63.299641448
1.106194690300000e-08,-65.939539576
1.126679777100000e-08,-68.466447232
1.147164864000000e-08,-70.869274644
1.167649950800000e-08,-73.138325318
1.188135037700000e-08,-75.265327216
1.208620124500000e-08,-77.243453467
1.229105211400000e-08,-79.067332603
1.249590298300000e-08,-80.733048396
1.270075385100000e-08,-82.238129422
1.290560472000000e-08,-83.581528562
1.311045558800000e-08,-84.763592734
1.331530645700000e-08,-85.786023196
1.352015732500000e-08,-86.651826825
1.372500819400000e-08,-87.365258866
1.392985906300000e-08,-87.931757665
1.413470993100000e-08,-88.357871977
1.433956080000000e-08,-88.651181482
1.454441166800000e-08,-88.820211186
1.474926253700000e-08,-88.874340406
1.495411340500000e-08,-88.823707108
1.515896427400000e-08,-88.679108344
1.536381514300000e-08,-88.451897603
