# Ar+ + Ar ion cross sections (energy column: relative/CM energy)
# Source: Phelps database, www.lxcat.net, retrieved 21 Aug 2026
# Reference: A. V. Phelps, J. Appl. Phys. 76, 747 (1994) / private communication
# backscat: backscattering (charge-transfer-like), isotropic: isotropic elastic
process,energy_eV,sigma_m2
backscat,0.000000e+00,1.104590e-17
backscat,1.000000e-04,1.104590e-17
backscat,1.200000e-04,9.516760e-18
backscat,1.400000e-04,8.384720e-18
backscat,1.600000e-04,7.509970e-18
backscat,1.900000e-04,6.513080e-18
backscat,2.200000e-04,5.764980e-18
backscat,2.600000e-04,5.014160e-18
backscat,3.100000e-04,4.326990e-18
backscat,3.700000e-04,3.729550e-18
backscat,4.400000e-04,3.224180e-18
backscat,5.200000e-04,2.802400e-18
backscat,6.200000e-04,2.419150e-18
backscat,7.400000e-04,2.088700e-18
backscat,8.800000e-04,1.811810e-18
backscat,1.000000e-03,1.633690e-18
backscat,1.200000e-03,1.413530e-18
backscat,1.400000e-03,1.254890e-18
backscat,1.600000e-03,1.135440e-18
backscat,1.900000e-03,1.003440e-18
backscat,2.200000e-03,9.079180e-19
backscat,2.600000e-03,8.158690e-19
backscat,3.100000e-03,7.358180e-19
backscat,3.700000e-03,6.703440e-19
backscat,4.400000e-03,6.187650e-19
backscat,5.200000e-03,5.790820e-19
backscat,6.200000e-03,5.463650e-19
backscat,7.400000e-03,5.213640e-19
backscat,8.800000e-03,5.032900e-19
backscat,1.000000e-02,4.933670e-19
backscat,1.200000e-02,4.833690e-19
backscat,1.400000e-02,4.780540e-19
backscat,1.600000e-02,4.753280e-19
backscat,1.900000e-02,4.738630e-19
backscat,2.200000e-02,4.740270e-19
backscat,2.600000e-02,4.753760e-19
backscat,3.100000e-02,4.777090e-19
backscat,3.700000e-02,4.806000e-19
backscat,4.400000e-02,4.836240e-19
backscat,5.200000e-02,4.864590e-19
backscat,6.200000e-02,4.891220e-19
backscat,7.400000e-02,4.912610e-19
backscat,8.800000e-02,4.926560e-19
backscat,1.000000e-01,4.931580e-19
backscat,1.200000e-01,4.929950e-19
backscat,1.400000e-01,4.919810e-19
backscat,1.600000e-01,4.904120e-19
backscat,1.900000e-01,4.874250e-19
backscat,2.200000e-01,4.840120e-19
backscat,2.600000e-01,4.791840e-19
backscat,3.100000e-01,4.731020e-19
backscat,3.700000e-01,4.660970e-19
backscat,4.400000e-01,4.585780e-19
backscat,5.200000e-01,4.509510e-19
backscat,6.200000e-01,4.428110e-19
backscat,7.400000e-01,4.348380e-19
backscat,8.800000e-01,4.275560e-19
backscat,1.000000e+00,4.226790e-19
backscat,1.200000e+00,4.166410e-19
backscat,1.400000e+00,4.124790e-19
backscat,1.600000e+00,4.096010e-19
backscat,1.900000e+00,4.068510e-19
backscat,2.200000e+00,4.052680e-19
backscat,2.600000e+00,4.041600e-19
backscat,3.100000e+00,4.035640e-19
backscat,3.700000e+00,4.032870e-19
backscat,4.400000e+00,4.030730e-19
backscat,5.200000e+00,4.027170e-19
backscat,6.200000e+00,4.020130e-19
backscat,7.400000e+00,4.008380e-19
backscat,8.800000e+00,3.991630e-19
backscat,1.000000e+01,3.975760e-19
backscat,1.200000e+01,3.948030e-19
backscat,1.400000e+01,3.920120e-19
backscat,1.600000e+01,3.892890e-19
backscat,1.900000e+01,3.854110e-19
backscat,2.200000e+01,3.818090e-19
backscat,2.600000e+01,3.774260e-19
backscat,3.100000e+01,3.725450e-19
backscat,3.700000e+01,3.674170e-19
backscat,4.400000e+01,3.622320e-19
backscat,5.200000e+01,3.571210e-19
backscat,6.200000e+01,3.516600e-19
backscat,7.400000e+01,3.461140e-19
backscat,8.800000e+01,3.406600e-19
backscat,1.000000e+02,3.366340e-19
backscat,1.200000e+02,3.309070e-19
backscat,1.400000e+02,3.260870e-19
backscat,1.600000e+02,3.219370e-19
backscat,1.900000e+02,3.166380e-19
backscat,2.200000e+02,3.121590e-19
backscat,2.600000e+02,3.071090e-19
backscat,3.100000e+02,3.018560e-19
backscat,3.700000e+02,2.966440e-19
backscat,4.400000e+02,2.916130e-19
backscat,5.200000e+02,2.868310e-19
backscat,6.200000e+02,2.818720e-19
backscat,7.400000e+02,2.769620e-19
backscat,8.800000e+02,2.722300e-19
backscat,1.000000e+03,2.687880e-19
backscat,1.200000e+03,2.639510e-19
backscat,1.400000e+03,2.599260e-19
backscat,1.600000e+03,2.564870e-19
backscat,1.900000e+03,2.521260e-19
backscat,2.100000e+03,2.496200e-19
backscat,2.600000e+03,2.443540e-19
backscat,3.100000e+03,2.400980e-19
backscat,3.700000e+03,2.358920e-19
backscat,4.400000e+03,2.318430e-19
backscat,5.200000e+03,2.280040e-19
backscat,6.200000e+03,2.240310e-19
backscat,7.400000e+03,2.201040e-19
backscat,8.800000e+03,2.163240e-19
backscat,1.000000e+04,2.135770e-19
isotropic,0.000000e+00,1.413940e-17
isotropic,1.000000e-04,1.413940e-17
isotropic,1.200000e-04,1.290690e-17
isotropic,1.400000e-04,1.194900e-17
isotropic,1.600000e-04,1.117690e-17
isotropic,1.900000e-04,1.025600e-17
isotropic,2.200000e-04,9.530560e-18
isotropic,2.600000e-04,8.766180e-18
isotropic,3.100000e-04,8.027400e-18
isotropic,3.700000e-04,7.346930e-18
isotropic,4.400000e-04,6.736330e-18
isotropic,5.200000e-04,6.195610e-18
isotropic,6.200000e-04,5.672960e-18
isotropic,7.400000e-04,5.191510e-18
isotropic,8.800000e-04,4.759460e-18
isotropic,1.000000e-03,4.463810e-18
isotropic,1.200000e-03,4.073430e-18
isotropic,1.400000e-03,3.769930e-18
isotropic,1.600000e-03,3.525210e-18
isotropic,1.900000e-03,3.233280e-18
isotropic,2.200000e-03,3.003220e-18
isotropic,2.600000e-03,2.760710e-18
isotropic,3.100000e-03,2.526200e-18
isotropic,3.700000e-03,2.310080e-18
isotropic,4.400000e-03,2.116030e-18
isotropic,5.200000e-03,1.944070e-18
isotropic,6.200000e-03,1.777740e-18
isotropic,7.400000e-03,1.624400e-18
isotropic,8.800000e-03,1.486690e-18
isotropic,1.000000e-02,1.392390e-18
isotropic,1.200000e-02,1.267810e-18
isotropic,1.400000e-02,1.170900e-18
isotropic,1.600000e-02,1.092730e-18
isotropic,1.900000e-02,9.994930e-19
isotropic,2.200000e-02,9.260440e-19
isotropic,2.600000e-02,8.487010e-19
isotropic,3.100000e-02,7.740720e-19
isotropic,3.700000e-02,7.055470e-19
isotropic,4.400000e-02,6.443710e-19
isotropic,5.200000e-02,5.905990e-19
isotropic,6.200000e-02,5.391950e-19
isotropic,7.400000e-02,4.925980e-19
isotropic,8.800000e-02,4.516950e-19
isotropic,1.000000e-01,4.244010e-19
isotropic,1.200000e-01,3.895520e-19
isotropic,1.400000e-01,3.636990e-19
isotropic,1.600000e-01,3.438820e-19
isotropic,1.900000e-01,3.217550e-19
isotropic,2.200000e-01,3.057370e-19
isotropic,2.600000e-01,2.904750e-19
isotropic,3.100000e-01,2.775330e-19
isotropic,3.700000e-01,2.673170e-19
isotropic,4.400000e-01,2.595110e-19
isotropic,5.200000e-01,2.534820e-19
isotropic,6.200000e-01,2.480540e-19
isotropic,7.400000e-01,2.428220e-19
isotropic,8.800000e-01,2.372280e-19
isotropic,1.000000e+00,2.324510e-19
