# He+ + He ion cross sections (energy column: relative/CM energy)
# Source: Phelps database, www.lxcat.net, retrieved 21 Aug 2026
# Reference: A. V. Phelps, J. Appl. Phys. 76, 747 (1994) / private communication
# backscat: backscattering (charge-transfer-like), isotropic: isotropic elastic
process,energy_eV,sigma_m2
backscat,0.000000e+00,2.213880e-19
backscat,1.000000e-04,2.213880e-19
backscat,1.200000e-04,2.213870e-19
backscat,1.400000e-04,2.213870e-19
backscat,1.600000e-04,2.213870e-19
backscat,1.900000e-04,2.213870e-19
backscat,2.200000e-04,2.213870e-19
backscat,2.600000e-04,2.213860e-19
backscat,3.100000e-04,2.213860e-19
backscat,3.700000e-04,2.213860e-19
backscat,4.400000e-04,2.213850e-19
backscat,5.200000e-04,2.213850e-19
backscat,6.200000e-04,2.213840e-19
backscat,7.400000e-04,2.213830e-19
backscat,8.800000e-04,2.213820e-19
backscat,1.000000e-03,2.213820e-19
backscat,1.200000e-03,2.213800e-19
backscat,1.400000e-03,2.213790e-19
backscat,1.600000e-03,2.213780e-19
backscat,1.900000e-03,2.213750e-19
backscat,2.200000e-03,2.213730e-19
backscat,2.600000e-03,2.213710e-19
backscat,3.100000e-03,2.213670e-19
backscat,3.700000e-03,2.213630e-19
backscat,4.400000e-03,2.213590e-19
backscat,5.200000e-03,2.213530e-19
backscat,6.200000e-03,2.213470e-19
backscat,7.400000e-03,2.213390e-19
backscat,8.800000e-03,2.213290e-19
backscat,1.000000e-02,2.213210e-19
backscat,1.200000e-02,2.213080e-19
backscat,1.400000e-02,2.212950e-19
backscat,1.600000e-02,2.212810e-19
backscat,1.900000e-02,2.212610e-19
backscat,2.200000e-02,2.212410e-19
backscat,2.600000e-02,2.212150e-19
backscat,3.100000e-02,2.211810e-19
backscat,3.700000e-02,2.211410e-19
backscat,4.400000e-02,2.210950e-19
backscat,5.200000e-02,2.210420e-19
backscat,6.200000e-02,2.209760e-19
backscat,7.400000e-02,2.208970e-19
backscat,8.800000e-02,2.208050e-19
backscat,1.000000e-01,2.207260e-19
backscat,1.200000e-01,2.205950e-19
backscat,1.400000e-01,2.204650e-19
backscat,1.600000e-01,2.203360e-19
backscat,1.900000e-01,2.201430e-19
backscat,2.200000e-01,2.199510e-19
backscat,2.600000e-01,2.196970e-19
backscat,3.100000e-01,2.193830e-19
backscat,3.700000e-01,2.190100e-19
backscat,4.400000e-01,2.185810e-19
backscat,5.200000e-01,2.180990e-19
backscat,6.200000e-01,2.175070e-19
backscat,7.400000e-01,2.168120e-19
backscat,8.800000e-01,2.160220e-19
backscat,1.000000e+00,2.153620e-19
backscat,1.200000e+00,2.142950e-19
backscat,1.400000e+00,2.132660e-19
backscat,1.600000e+00,2.122730e-19
backscat,1.900000e+00,2.108470e-19
backscat,2.200000e+00,2.094890e-19
backscat,2.600000e+00,2.077760e-19
backscat,3.100000e+00,2.057740e-19
backscat,3.700000e+00,2.035500e-19
backscat,4.400000e+00,2.011660e-19
backscat,5.200000e+00,1.986770e-19
backscat,6.200000e+00,1.958600e-19
backscat,7.400000e+00,1.928350e-19
backscat,8.800000e+00,1.897000e-19
backscat,1.000000e+01,1.872860e-19
backscat,1.200000e+01,1.837120e-19
backscat,1.400000e+01,1.805830e-19
backscat,1.600000e+01,1.778050e-19
backscat,1.900000e+01,1.741510e-19
backscat,2.200000e+01,1.709750e-19
backscat,2.600000e+01,1.673050e-19
backscat,3.100000e+01,1.633950e-19
backscat,3.700000e+01,1.594290e-19
backscat,4.400000e+01,1.555230e-19
backscat,5.200000e+01,1.517450e-19
backscat,6.200000e+01,1.477600e-19
backscat,7.400000e+01,1.437490e-19
backscat,8.800000e+01,1.398200e-19
backscat,1.000000e+02,1.369220e-19
backscat,1.200000e+02,1.327880e-19
backscat,1.400000e+02,1.292910e-19
backscat,1.600000e+02,1.262590e-19
